Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
62962,839,841,16.72505,15.99,-46280.218099999955,-0.04394904649014497,2021-06-10 14:30:00,2021-06-11 10:00:00,0 days 19:30:00
62053,842,848,16.2243,15.54,-42462.86790000002,-0.04217747452894738,2021-06-11 10:30:00,2021-06-15 09:30:00,3 days 23:00:00
61721,849,856,15.6234,14.9,-44648.97139999999,-0.046302341359755195,2021-06-15 10:00:00,2021-06-16 09:30:00,0 days 23:30:00
-61117,930,939,15.047395000000002,15.51,-28273.029784999886,-0.030743195084597552,2021-06-29 10:30:00,2021-06-30 11:00:00,1 days 00:30:00
-58271,940,944,15.297020000000002,15.23,3905.3224200000695,0.0043812454974890835,2021-06-30 13:00:00,2021-07-01 09:30:00,0 days 20:30:00
-58872,944,950,15.207155000000002,15.33,-7232.130839999888,-0.008078105339230035,2021-07-01 09:30:00,2021-07-01 14:00:00,0 days 04:30:00
-58016,950,953,15.307005,15.67,-21059.517919999984,-0.0237143059664513,2021-07-01 14:00:00,2021-07-02 10:00:00,0 days 20:00:00
47177,1010,1016,18.377525000000002,17.74,-30076.516925000175,-0.0346904711053313,2021-07-13 10:30:00,2021-07-14 09:30:00,0 days 23:00:00
48444,1018,1024,17.275875,16.92,-17240.00849999988,-0.02059953547938942,2021-07-14 10:30:00,2021-07-15 09:30:00,0 days 23:00:00
45218,1085,1095,18.127150000000004,17.3,-37402.06870000014,-0.04563044935359406,2021-07-26 13:30:00,2021-07-27 14:30:00,1 days 01:00:00
45519,1130,1134,17.185740000000003,16.87,-14372.169060000077,-0.018372208586886707,2021-08-03 10:30:00,2021-08-03 14:00:00,0 days 03:30:00
35547,1305,1315,21.602355000000003,20.52,-38474.47318500012,-0.05010356509741665,2021-09-02 10:00:00,2021-09-03 11:00:00,1 days 01:00:00
-34524,1333,1334,21.12826,21.18,-1786.271759999958,-0.0024488528634161177,2021-09-07 13:30:00,2021-09-07 14:00:00,0 days 00:30:00
-34406,1334,1336,21.14823,21.37,-7630.218619999978,-0.010486456786217957,2021-09-07 14:00:00,2021-09-08 09:30:00,0 days 19:30:00
-41513,1456,1493,17.343945,17.11,9711.758785000085,0.013488569065457812,2021-10-08 09:30:00,2021-10-14 13:30:00,6 days 04:00:00
-42713,1493,1498,17.084335,17.26,-7503.179145000093,-0.010282226378726556,2021-10-14 13:30:00,2021-10-15 10:30:00,0 days 21:00:00
41373,1576,1585,17.456145,18.95,61805.262915,0.08557760032355377,2021-10-29 09:30:00,2021-11-01 10:00:00,3 days 00:30:00
41819,1623,1641,18.74808,18.77,916.6724799999139,0.0011691863913529943,2021-11-05 14:30:00,2021-11-10 10:00:00,4 days 19:30:00
41756,1641,1643,18.798155,18.61,-7856.600180000077,-0.010009226969348917,2021-11-10 10:00:00,2021-11-10 11:00:00,0 days 01:00:00
41582,1643,1646,18.687990000000003,18.55,-5737.900180000085,-0.007383886656617489,2021-11-10 11:00:00,2021-11-10 14:00:00,0 days 03:00:00
33989,1728,1736,22.693990000000003,22.76,2243.6138899999514,0.0029086996160656575,2021-11-25 09:30:00,2021-11-26 09:30:00,1 days 00:00:00
33938,1736,1745,22.794140000000002,24.24,49069.59667999987,0.0634312152158405,2021-11-26 09:30:00,2021-11-29 10:00:00,3 days 00:30:00
